,gene
1772,GTF2E2
1773,GTF2F1
1774,GTF2F2
1775,GTF2H1
1776,GTF2H3
1777,GTF2H4
1778,GTF2I
1779,GTF3A
1780,BRF1
1781,GTF3C1
1782,GTF3C2
1783,GUCY1A2
1784,GUCA1A
1785,GUCA1B
1786,GUCA2A
1787,GUCA2B
1788,GUCY1A3
1789,GUCY1B3
1790,GUCY2C
1791,GUCY2F
1792,GUK1
1793,GUSB
1794,GYG1
1795,GYPA
1796,GYPB
1797,GYPC
1798,GYPE
1799,GYS1
1800,GYS2
1801,GZMH
1802,GUCY2D
1803,GZMA
1804,GZMB
1805,GZMK
1806,GZMM
1807,H1F0
1808,HIST1H1C
1809,HIST1H1D
1810,HIST1H1E
1811,HIST1H1B
1812,HIST1H2AE
1813,H2AFX
1814,H2AFZ
1815,HIST1H2BD
1816,HIST1H2BB
1817,H3F3B
1818,HIST1H1A
1819,HABP2
1820,HSD17B10
1821,HAGH
1822,HADHA
1823,HADHB
1824,HADH
1825,HAL
1826,HARS
1827,HAS1
1828,HAS2
1829,HBB
1830,HBD
1831,HBE1
1832,HBG2
1833,HBQ1
1834,HCCS
1835,SERPIND1
1836,HCFC1
1837,HCK
1838,HCLS1
1839,HCRTR1
1840,HCRTR2
1841,HTT
1842,HDAC1
1843,HDAC2
1844,HDC
1845,HDGF
1846,HDLBP
1847,NCKAP1L
1848,HEXA
1849,HEXB
1850,CFH
1851,HFE
1852,HGD
1853,HGF
1854,HGFAC
1855,NRG1
1856,HHEX
1857,HIC1
1858,HIF1A
1859,HIP1
1860,UBE2K
1861,HINT1
1862,HIVEP1
1863,HIVEP2
1864,HK1
1865,HK2
1866,HK3
1867,ZBTB48
1868,HLA-A
1869,HLA-B
1870,HLA-C
1871,HLA-DMA
1872,HLA-DMB
1873,MNX1
1874,HLA-DOA
1875,HLA-DOB
1876,HLA-DPA1
1877,HLA-DPB1
1878,HLA-DQA1
1879,HLA-DQB1
1880,HLA-DQB2
1881,HLA-DRA
1882,HLA-DRB1
1883,HLF
1884,HLA-E
1885,HLA-F
1886,HLA-G
1887,MR1
1888,HLCS
1889,HLX
1890,HMBS
1891,HMGB2
1892,HMGB3
1893,HMGCL
1894,HMGCR
1895,HMGCS1
1896,HMGCS2
1897,HMGA1
1898,HMMR
1899,HMOX1
1900,HMOX2
1901,NR4A1
1902,HMX1
1903,FOXA1
1904,FOXA2
1905,HNF4A
1906,HNF4G
1907,ONECUT1
1908,HNMT
1909,SLC29A2
1910,HNRNPA1
1911,HNRNPA2B1
1912,HNRNPAB
1913,HNRNPD
1914,HNRNPF
1915,HNRNPH1
1916,HNRNPH3
1917,HNRNPK
1918,HNRNPL
1919,HNRNPU
1920,TLX1
1921,TLX2
1922,HOXA1
1923,HOXA2
1924,HOXA3
1925,HOXA4
1926,HOXA5
1927,HOXA6
1928,HOXA7
1929,HOXA10
1930,HOXA11
1931,HPCA
1932,HOXB1
1933,HOXB2
1934,HOXB3
1935,HOXB5
1936,HOXB6
1937,HOXB7
1938,HOXB8
1939,HOXB9
1940,HOXC4
1941,HOXC5
1942,HOXC6
1943,HOXC8
1944,HOXC10
1945,HOXC11
1946,HOXC13
1947,HOXD1
1948,HOXD3
1949,HOXD9
1950,HOXD10
1951,HOXD11
1952,HOXD12
1953,HOXD13
1954,HP
1955,HPCAL1
1956,HPD
1957,HPGD
1958,HPN
1959,HPRT1
1960,HPS1
1961,HPX
1962,HRAS
1963,AGFG1
1964,AGFG2
1965,HRH1
1966,HRC
1967,HRG
1968,HRH2
1969,PRMT2
1970,PRMT1
1971,HES1
1972,HSBP1
1973,HSD3B1
1974,HSD3B2
1975,HSD11B1
1976,HSD11B2
1977,HSD17B1
1978,HSD17B3
1979,HSD17B2
1980,HSD17B4
1981,HSF1
1982,HSF2
1983,HSF4
1984,DNAJB2
1985,DNAJA1
1986,HSPA1B
1987,HSPA1L
1988,HSPA2
1989,HSPA4
1990,HSPA5
1991,HSPA6
1992,HSPA8
1993,HSPA9
1994,HSPB2
1995,HSP90AA1
1996,IGSF3
1997,HSP90AB1
1998,DNAJB1
1999,DNAJC4
2000,HSPG2
2001,NDST1
2002,FOXN2
2003,HTN1
2004,HTN3
2005,HTR1A
2006,HTR1B
2007,HTR1D
2008,HTR1E
2009,HTR2A
2010,HTR2B
2011,HTR2C
2012,HTR3A
2013,HTR4
2014,HTR5A
2015,HTR6
2016,HTR7
2017,HUS1
2018,TNC
2019,HYAL1
2020,IAPP
2021,IARS
2022,IBSP
2023,ICA1
2024,ICAM1
2025,ICAM2
2026,ICAM3
2027,ICAM4
2028,IRF8
2029,ID1
2030,ID2
2031,ID3
2032,ID4
2033,IDE
2034,IDH1
2035,IDH2
2036,IDH3A
2037,IDH3B
2038,IDH3G
2039,IDI1
2040,IDS
2041,IDUA
2042,CFI
2043,IFI16
2044,IFI27
2045,IFI35
2046,SP110
2047,IFIT2
2048,IFIT1
2049,IFIT3
2050,IFNA1
2051,IFNA2
2052,IFNA8
2053,IFNAR1
2054,IFNAR2
2055,IFNB1
2056,IFNG
2057,IFNGR1
2058,IFNGR2
2059,IFNW1
2060,IFRD1
2061,IGBP1
2062,IGF1
2063,IGF1R
2064,IGF2R
2065,IGFALS
2066,IGFBP1
2067,IGFBP2
2068,IGFBP3
2069,IGFBP4
2070,IGFBP5
2071,IGFBP6
2072,IGFBP7
2073,CYR61
2074,IGHMBP2
2075,RBPJ
2076,IGLL1
2077,IGSF1
2078,IHH
2079,IK
2080,IKBKB
2081,IL1A
2082,IL1B
2083,IL1R1
2084,IL1RAP
2085,IL1RN
2086,IL2RA
2087,IL2RB
2088,IL2RG
2089,IL3
2090,IL3RA
2091,IL4
2092,IL4R
2093,IL5
2094,IL5RA
2095,IL6
2096,IL6R
2097,IL6ST
2098,IL7
2099,IL7R
2100,CXCR1
2101,IL9
2102,CXCR2
2103,IL10
2104,IL10RA
2105,IL10RB
2106,IL11
2107,IL11RA
2108,IL12A
2109,IL12B
2110,IL12RB1
2111,IL12RB2
2112,IL13
2113,IL13RA1
2114,IL13RA2
2115,IL15
2116,IL15RA
2117,IL16
2118,TNFRSF9
2119,IL17A
2120,IL18
2121,FOXK2
2122,ILF2
2123,ILF3
2124,ILK
2125,IMPA1
2126,IMPA2
2127,IMPDH1
2128,IMPDH2
2129,IMPG1
2130,INCENP
2131,IDO1
2132,ING1
2133,ING2
2134,INHA
2135,INHBA
2136,INHBB
2137,INHBC
2138,CXCL10
2139,INPP1
2140,INPP4A
2141,INPP5A
2142,INPP5B
2143,INPP5D
2144,INPPL1
2145,INSIG1
2146,INSL3
2147,INSL4
2148,INSM1
2149,INSR
2150,INSRR
2151,EIF3E
2152,PDX1
2153,IPP
2154,IRAK1
2155,ITGA6
2156,IREB2
2157,IRF1
2158,IRF2
2159,IRF3
2160,IRF4
2161,IRF5
2162,IRF6
2163,IRF7
2164,IRS1
2165,ISG20
2166,ISL1
2167,ISLR
2168,ITGA2
2169,ITGA2B
2170,ITGA3
2171,ITGA4
2172,ITGA5
2173,ITGA7
2174,ITGA9
2175,ITGAE
2176,ITGAL
2177,ITGAM
2178,ITGAV
2179,ITGAX
2180,ITGB2
2181,ITGB3
2182,ITGB4
2183,EIF6
2184,ITGB5
2185,ITGB6
2186,ITGB7
2187,ITGB8
2188,ITIH1
2189,ITIH2
2190,ITIH3
2191,ITIH4
2192,ITK
2193,STT3A
2194,ITPA
2195,ITPK1
2196,ITPKA
2197,ITPKB
2198,ITPR1
2199,ITPR2
2200,ITPR3
2201,IVD
2202,IVL
2203,JAG2
2204,JAK1
2205,JAK2
2206,JAK3
2207,JARID2
2208,JUN
2209,JUNB
2210,JUND
2211,JUP
2212,CD82
2213,KARS
2214,KCNA1
2215,KCNA2
2216,KCNA4
2217,KCNA5
2218,KCNB1
2219,KCNC1
2220,KCNC3
2221,KCNC4
2222,KCND1
2223,KCND2
2224,KCND3
2225,KCNF1
2226,KCNG1
2227,KCNH1
2228,KCNH2
2229,KCNJ1
2230,KCNJ2
2231,KCNJ3
2232,KCNJ5
2233,KCNJ6
2234,KCNJ8
2235,KCNJ9
2236,KCNJ10
2237,KCNJ13
2238,KCNJ14
2239,KCNJ15
2240,KCNJ16
2241,KCNK1
2242,KCNK2
2243,KCNK3
2244,KCNMA1
2245,KCNMB1
2246,KCNN1
2247,KCNN2
2248,KCNN3
2249,KCNN4
2250,KCNQ1
2251,KCNQ2
2252,KCNQ3
2253,KCNS1
2254,KCNS3
2255,KDR
2256,KEL
2257,KHK
2258,KIF2A
2259,KIF3C
2260,KIF5A
2261,KIF5B
2262,KIF5C
2263,KIFC3
2264,KISS1
2265,KIT
2266,KLK1
2267,KLK2
2268,KLKB1
2269,KLRB1
2270,KLRD1
2271,KNG1
2272,KLC1
2273,KIF11
2274,KIFC1
2275,KIF22
2276,KPNA1
2277,KPNB1
2278,KPNA2
2279,KPNA3
2280,KPNA4
2281,KPNA5
2282,TNPO1
2283,IPO5
2284,KRAS
2285,KRT1
2286,KRT2
2287,KRT3
2288,KRT4
2289,KRT5
2290,KRT6A
2291,KRT6B
2292,KRT7
2293,KRT9
2294,KRT10
2295,KRT12
2296,KRT13
2297,KRT14
2298,KRT15
2299,KRT16
2300,KRT17
2301,KRT19
2302,KRT31
2303,KRT33B
2304,KRT34
2305,KRT35
2306,KRT81
2307,KRT83
2308,KRT84
2309,KRT85
2310,KRT86
2311,KTN1
2312,L1CAM
2313,LAD1
2314,AFF3
2315,LAG3
2316,LAIR1
2317,LAIR2
2318,LAMA2
2319,LAMA3
2320,LAMA4
2321,LAMA5
2322,LAMB1
2323,LAMB2
2324,LAMB3
2325,LAMC1
2326,LAMP1
2327,LAMC2
2328,LAMP2
2329,STMN1
2330,LASP1
2331,LBP
2332,LBR
2333,LCAT
2334,LCK
2335,LCN1
2336,LCN2
2337,LCP1
2338,LCP2
2339,LCT
2340,LDHB
2341,LDHC
2342,LDLR
2343,LECT2
2344,LEP
2345,LEPR
2346,LETM1
2347,LFNG
2348,LGALS1
2349,LGALS2
2350,LGALS3
2351,LGALS3BP
2352,LGALS4
2353,LGALS8
2354,LGALS9
2355,LHB
2356,LHCGR
2357,LHX1
2358,LIF
2359,LIFR
2360,LIG1
2361,LIG3
2362,LIG4
2363,LIM2
2364,ABLIM1
2365,LIMK1
2366,LIMK2
2367,LIMS1
2368,LIPA
2369,LIPC
2370,LIPE
2371,FADS1
2372,LLGL2
2373,FADS3
2374,LLGL1
2375,LMAN1
2376,LMNA
2377,LMNB1
2378,LMO1
2379,LMO2
2380,PRICKLE3
2381,LMO7
2382,LMX1B
2383,LNPEP
2384,VWA5A
2385,LOR
2386,LOX
2387,LOXL1
2388,LOXL2
2389,LPA
2390,LPL
2391,LPO
2392,LPP
2393,LRMP
2394,LRCH4
2395,LRP1
2396,LRP2
2397,LRP3
2398,LRP4
2399,LRP6
2400,LRP5
2401,LRPAP1
2402,LSAMP
2403,LSP1
2404,LSS
2405,LTA4H
2406,LTA
2407,LTB
2408,LTBP1
2409,LTBP2
2410,LTBP3
2411,LTBR
2412,LTC4S
2413,LTF
2414,LTK
2415,BCAM
2416,LUM
2417,LY6E
2418,LY6H
2419,LY9
2420,CD180
2421,LYL1
2422,LYN
2423,SH2D1A
2424,LYZ
2425,TACSTD2
2426,TM4SF1
2427,EPCAM
2428,M6PR
2429,CAPRIN1
2430,NBR1
2431,MAB21L1
2432,MARCKS
2433,MXD1
2434,MAD2L1
2435,SMAD1
2436,SMAD2
2437,SMAD3
2438,SMAD4
2439,SMAD5
2440,SMAD6
2441,SMAD7
2442,SMAD9
2443,MAF
2444,MAFG
2445,MAG
2446,MAGEA1
2447,MAGEA4
2448,MAGEA8
2449,MAGEA10
2450,MAGEA11
2451,MAGEB1
2452,MAGEB2
2453,MAGEB4
2454,MAGOH
2455,MAK
2456,MAL
2457,MAN1A1
2458,MAN2A2
2459,MAN2C1
2460,MAN2A1
2461,MAN2B1
2462,MANBA
2463,MAOA
2464,MAOB
2465,MAP1A
2466,MAP1B
2467,MAP2
2468,MAP4
2469,MAPT
2470,MARK1
2471,MARK3
2472,MARS
2473,MAT1A
2474,MAT2A
2475,MATK
2476,MATN1
2477,MATN2
2478,MATN3
2479,MAX
2480,MAZ
2481,MB
2482,MBD1
2483,MBL2
2484,MBNL1
2485,MBP
2486,MC1R
2487,MC2R
2488,MC4R
2489,MCAM
2490,MCC
2491,MCF2
2492,MCL1
2493,MCM2
2494,MCM3
2495,MCM4
2496,MCM5
2497,MCM6
2498,MCM7
2499,CD46
2500,SMCP
2501,ADAM11
2502,MDFI
2503,DNAJB9
2504,MDH1
2505,MDH2
2506,MDK
2507,MDM2
2508,MDM4
2509,ME1
2510,ME2
2511,MEA1
2512,MECP2
2513,MEF2A
2514,MEF2C
2515,MEF2D
2516,MEFV
2517,MEIS1
2518,MEIS2
2519,MAP3K1
2520,MAP3K3
2521,MAP3K4
2522,MAP3K5
2523,RAB8A
2524,MEN1
2525,MEOX1
2526,MEOX2
2527,MEP1A
2528,MEP1B
2529,MEST
2530,MET
2531,METTL1
2532,MFAP1
2533,MFAP2
2534,MFAP3
2535,MFAP4
2536,MFGE8
2537,MFNG
2538,MGAT1
2539,SCGB2A1
2540,MGAT2
2541,MGAT3
2542,MGAT5
2543,SCGB2A2
2544,CTAGE5
2545,KITLG
2546,MGMT
2547,MGP
2548,MGST2
2549,MGST3
2550,CIITA
2551,CD99
2552,MICB
2553,MID1
2554,MIF
2555,CXCL9
2556,MIP
2557,MIPEP
2558,MITF
2559,ATXN3
2560,MKI67
2561,MKLN1
2562,MLF1
2563,MLH1
2564,MAP3K9
2565,MAP3K10
2566,MLN
2567,MAP3K11
2568,MLLT1
2569,AFF1
2570,MLLT3
2571,FOXO4
2572,NR3C2
2573,TRPM1
2574,MME
2575,MMP1
2576,MMP2
2577,MMP3
2578,MMP7
2579,MMP8
2580,MMP9
2581,MMP10
2582,MMP11
2583,MMP12
2584,MMP13
2585,MMP14
2586,MMP15
2587,MMP16
2588,MMP17
2589,MMP19
2590,ALDH6A1
2591,MN1
2592,MNAT1
2593,MNDA
2594,MNT
2595,MOBP
2596,MOCS1
2597,MOCS2
2598,MOG
2599,CD200
2600,MPG
2601,MPI
2602,MPL
2603,MPO
2604,MPP1
2605,MPP2
2606,MPP3
2607,MPST
2608,MPV17
2609,MPZ
2610,MRE11A
2611,ABCC1
2612,MYO1B
2613,CITED1
2614,MSH2
2615,MSH3
2616,MSH4
2617,MSI1
2618,MSMB
2619,MSN
2620,MSR1
2621,MSRA
2622,MST1
2623,MST1R
2624,MSX1
2625,MSX2
2626,MT1F
2627,MT1G
2628,MT1M
2629,MT1X
2630,MT2A
2631,MT3
2632,MTAP
2633,MTCP1
2634,MTF1
2635,NUDT1
2636,MTHFD1
2637,MTHFR
2638,MTIF2
2639,MTM1
2640,MYO1F
2641,MTTP
2642,MTR
2643,MTRR
2644,MUC1
2645,MUC2
2646,MUC4
2647,MUC6
2648,MUC7
2649,TRIM37
2650,MUSK
2651,MUT
2652,MUTYH
2653,MVD
2654,MVK
2655,MX1
2656,MX2
2657,MXI1
2658,MYB
2659,MYBL1
2660,MYBPC1
2661,MYBL2
2662,MYBPC2
2663,MYBPC3
2664,MYBPH
2665,MYC
2666,MYCN
2667,MYD88
2668,GADD45B
2669,MYF5
2670,MYF6
2671,MYH1
2672,MYH2
2673,MYH3
2674,MYH4
2675,MYH6
2676,MYH7
2677,MYH8
2678,MYH9
2679,MYH10
2680,MYH11
2681,MYL1
2682,MYL2
2683,MYL3
2684,MYL4
2685,MYL5
2686,MYL6
2687,MYLK
2688,MYO1A
2689,MYO1C
2690,MYO1D
2691,MYO1E
2692,MYO5A
2693,MYO6
2694,MYO7A
2695,MYO9A
2696,MYO9B
2697,MYO10
2698,MYOC
2699,MYOD1
2700,MYOG
2701,PPP1R12A
2702,PPP1R12B
2703,MYT1
2704,NAB1
2705,NAB2
2706,NACA
2707,NAGA
2708,NAGLU
2709,HNRNPM
2710,NAP1L1
2711,NAP1L2
2712,NAP1L3
2713,NAP1L4
2714,NARS
2715,NASP
2716,CEACAM6
2717,NUBP1
2718,NBN
2719,NCAM1
2720,NCAM2
2721,NCBP1
2722,NCF2
2723,NCF4
2724,NCK1
2725,NCL
2726,NDN
2727,NDP
2728,NDUFA1
2729,NDUFA2
2730,NDUFA3
2731,NDUFA4
2732,NDUFA5
2733,NDUFA6
2734,NDUFA7
2735,NDUFA8
2736,NEB
2737,NDUFA9
2738,NDUFA10
2739,NDUFAB1
2740,NDUFB1
2741,NDUFB2
2742,NDUFB3
2743,NDUFB4
2744,NDUFB5
2745,NDUFB6
2746,NDUFB7
2747,NDUFC1
2748,NDUFC2
2749,NDUFS1
2750,NDUFS2
2751,NDUFS3
2752,NDUFV1
2753,NDUFS4
2754,NDUFS5
2755,NDUFS6
2756,NDUFS8
2757,DRG1
2758,NEDD4
2759,SEPT2
2760,NEDD8
2761,NEDD9
2762,NEFM
2763,NEFH
2764,NELL1
2765,NEFL
2766,NEK1
2767,NEK2
2768,NEK3
2769,NELL2
2770,NEO1
2771,NEU1
2772,NEUROD1
2773,NEUROD2
2774,NEUROG1
2775,NF1
2776,NF2
2777,NFATC1
2778,NFATC3
2779,NFATC4
2780,NFE2
2781,NFE2L1
2782,NFE2L2
2783,NFIB
2784,NFIC
2785,NFIL3
2786,NFIX
2787,NFKB1
2788,NFKB2
2789,NFKBIA
2790,NFKBIB
2791,NFKBIE
2792,NFKBIL1
2793,NFRKB
2794,NFX1
2795,NFYA
2796,NFYB
2797,NFYC
2798,NGF
2799,NGFR
2800,NHLH1
2801,NHLH2
2802,NID1
2803,NINJ1
2804,NINJ2
2805,NIT1
2806,NKG7
2807,NKTR
2808,NKX2-2
2809,NKX3-1
2810,NKX6-1
2811,NNAT
2812,NMB
2813,NME1
2814,NME3
2815,NME4
2816,NQO2
2817,NMT1
2818,NNMT
2819,NOP2
2820,NONO
2821,NOS1
2822,NOS2
2823,NOS3
2824,CNOT2
2825,CNOT3
2826,CNOT4
2827,NOTCH1
2828,NPY
2829,NOTCH2
2830,NOTCH3
2831,NOTCH4
2832,NOV
2833,NOVA1
2834,NOVA2
2835,PNP
2836,NPAS1
2837,NPAS2
2838,NPAT
2839,NPC1
2840,NPHS1
2841,NPM1
2842,NPPA
2843,NPPB
2844,NPPC
2845,NPR1
2846,NPR2
2847,NPR3
2848,NPTX1
2849,NPTX2
2850,NPY1R
2851,NPY2R
2852,NPY5R
2853,SLC11A2
2854,NRAP
2855,NRAS
2856,NRCAM
2857,NRF1
2858,NRGN
2859,NRL
2860,NT5E
2861,NTF3
2862,NTHL1
2863,NTRK1
2864,NTRK2
2865,NTRK3
2866,NTN3
2867,ROR1
2868,ROR2
2869,DDR2
2870,NTS
2871,NTSR1
2872,NUCB1
2873,NUCB2
2874,NUMA1
2875,NUP88
2876,NUP98
2877,NR4A2
2878,NVL
2879,GPR143
2880,OAS1
2881,OAS2
2882,OAT
2883,OCA2
2884,OCRL
2885,ODC1
2886,ODF1
2887,ODF2
2888,OMD
2889,OGDH
2890,OGG1
2891,OGN
2892,OLR1
2893,OMG
2894,OPA1
2895,OPCML
2896,TNFRSF11B
2897,OPRD1
2898,OPRK1
2899,OPRL1
2900,OPRM1
2901,SIX6
2902,SLC22A18
2903,SLC22A18AS
2904,ORM1
2905,OSBP
2906,OSM
2907,OTC
2908,CLDN11
2909,OVGP1
2910,OVOL1
2911,OXA1L
2912,OXCT1
2913,OXT
2914,OXTR
2915,P2RX1
2916,P2RX3
2917,P2RX4
2918,P2RX5
2919,P2RX7
2920,P2RY1
2921,P2RY2
2922,P2RY4
2923,P2RY6
2924,P4HA1
2925,P4HB
2926,PA2G4
2927,PEBP1
2928,PABPC3
2929,FURIN
2930,PCSK6
2931,PAEP
2932,PAFAH1B1
2933,PAFAH1B2
2934,PAFAH1B3
2935,PAFAH2
2936,PRDX1
2937,PAH
2938,SERPINE1
2939,SERPINB2
2940,PAK1
2941,PAK2
2942,PAK3
2943,PALM
2944,PAM
2945,REG3A
2946,PAPPA
2947,PARK2
2948,PARN
2949,PAWR
2950,PAX1
2951,PAX2
2952,PAX3
2953,PAX4
2954,PAX5
2955,PAX6
2956,PAX7
2957,PDCL
2958,PAX9
2959,PBX1
2960,PBX2
2961,PBX3
2962,PC
2963,PCBD1
2964,PCBP1
2965,PCBP2
2966,PCCA
2967,PCCB
2968,PCDH1
2969,PCDHGC3
2970,PCDH7
2971,PCDH8
2972,PCDH9
2973,SERPINA5
2974,PCK1
2975,PCK2
2976,PCM1
2977,PCMT1
2978,PCNA
2979,PCNT
2980,PCOLCE
2981,CHMP1A
2982,PCP4
2983,PCSK1
2984,PCSK5
2985,PCSK2
2986,CDK16
2987,CDK17
2988,CDK18
2989,PCYT1A
2990,PDC
2991,PDCD1
2992,PDCD2
2993,PDE1A
2994,PDE1C
2995,PDE2A
2996,PDE3A
2997,PDE3B
2998,PDE4A
2999,PDE4B
3000,PDE4C
3001,PDE4D
3002,PDE6A
3003,PDE6C
3004,PDE6D
3005,PDE6G
3006,PDE6H
3007,PDE8A
3008,PDE9A
3009,PDE1B
3010,PDGFA
3011,PDGFB
3012,PDGFRA
3013,PDGFRL
3014,PDE6B
3015,PDGFRB
3016,PDHA1
3017,PDHA2
3018,PDHB
3019,PDK1
3020,PDK2
3021,PDK3
3022,PDK4
3023,ENPP1
3024,ENPP2
3025,PDPK1
3026,SLC26A4
3027,PDYN
3028,SERPINF1
3029,PEG3
3030,PENK
3031,PEPD
3032,PER1
3033,PEX1
3034,PEX6
3035,PEX7
3036,PEX10
3037,PEX12
3038,PEX13
3039,PEX14
3040,PF4
3041,PF4V1
3042,PFAS
3043,CFP
3044,PFDN1
3045,PFDN2
3046,PFDN4
3047,PFDN5
3048,PFKFB1
3049,PFKFB2
3050,PFKFB3
3051,PFKFB4
3052,PFKL
3053,PFKM
3054,PFKP
3055,PFN1
3056,PFN2
3057,CDK14
3058,PGAM2
3059,PGC
3060,PGD
3061,PGF
3062,PGGT1B
3063,PGK1
3064,PGK2
3065,PGM1
3066,PGM3
3067,PGM5
3068,PGR
3069,ABCB1
3070,ABCB4
3071,PHB
3072,SLC25A3
3073,PHEX
3074,PHF1
3075,PHF2
3076,PHKA1
3077,PHKA2
3078,PHKB
3079,PHKG1
3080,PHKG2
3081,PHYH
3082,SERPINA1
3083,PI3
3084,SERPINA4
3085,SERPINB5
3086,SERPINB6
3087,SERPINE2
3088,SERPINB8
3089,SERPINB9
3090,SERPINB10
3091,SERPINI1
3092,SERPINB13
3093,SERPINI2
3094,PIGA
3095,PIGC
3096,PIGF
3097,PIGH
3098,PIGR
3099,PIK3C2A
3100,PIK3C2B
3101,PIK3C2G
3102,PIK3C3
3103,PIK3CA
3104,PIK3CB
3105,PIM1
3106,PIK3CD
3107,PIK3CG
3108,PIK3R1
3109,PIK3R2
3110,PI4KA
3111,PI4KB
3112,PIN1
3113,PIN4
3114,PIP
3115,PIP4K2A
3116,PITPNA
3117,PITX1
3118,PITX2
3119,PITX3
3120,PKD2
3121,PKLR
3122,PKNOX1
3123,PKP1
3124,PKP2
3125,PLA2G1B
3126,PLA2G2A
3127,PLA2G4A
3128,PLA2G5
3129,PLAG1
3130,PLAGL1
3131,PLAGL2
3132,PLAT
3133,PLAU
3134,PLAUR
3135,PLCB2
3136,PLCB3
3137,PLCB4
3138,PLCD1
3139,PLCL1
3140,PLCG1
3141,PLCG2
3142,PLD1
3143,PLD2
3144,PLEC
3145,PLEK
3146,SERPINF2
3147,PLIN1
3148,PLK1
3149,FXYD1
3150,FXYD3
3151,PLN
3152,PLOD1
3153,PLOD2
3154,PLP1
3155,PLP2
3156,PLS1
3157,PLS3
3158,PLSCR1
3159,PLTP
3160,PLXNA1
3161,PLXNA2
3162,PLXNB1
3163,PLXNB3
3164,PMAIP1
3165,PMCH
3166,PNOC
3167,PML
3168,PMM1
3169,PMM2
3170,PMP2
3171,PMP22
3172,PMS1
3173,EXOSC9
3174,EXOSC10
3175,PRRX1
3176,PNLIP
3177,PNLIPRP1
3178,PNLIPRP2
3179,PNMT
3180,PNN
3181,UBL3
3182,SEPT4
3183,PODXL
3184,POLA1
3185,POLB
3186,POLD1
3187,POLD2
3188,POLE
3189,POLE2
3190,POLG
3191,POLH
3192,POLR2A
3193,POLR2B
3194,POLR2C
3195,POLR2D
3196,POLR2E
3197,POLR2F
3198,POLR2G
3199,POLR2H
3200,POLR2I
3201,POLR2J
3202,POLR2K
3203,POLR2L
3204,POMC
3205,PON1
3206,PON2
3207,POR
3208,POU1F1
3209,POU2AF1
3210,POU2F1
3211,POU2F2
3212,POU3F1
3213,POU3F2
3214,POU3F3
3215,POU3F4
3216,POU4F1
3217,POU4F2
3218,POU4F3
3219,POU6F1
3220,PPA1
3221,PPARA
3222,PPARD
3223,PPARG
3224,MED1
3225,PPEF2
3226,PPAT
3227,PPBP
3228,PPEF1
3229,CTSA
3230,PPIB
3231,PPIC
3232,PPID
3233,PPL
3234,PPM1A
3235,PPM1B
3236,PPM1G
3237,PPOX
3238,PPP1CA
3239,PPP1CB
3240,PPP1CC
3241,PPP1R1A
3242,PPP1R2
3243,PPP1R3A
3244,PPP1R3C
3245,PPP1R3D
3246,PPP1R7
3247,PPP1R8
3248,PPP1R10
3249,PPP2CA
3250,PPP2CB
3251,PPP2R1A
3252,PPP2R1B
3253,PPP2R2A
3254,PPP2R2B
3255,PPP2R3A
3256,PPP2R5A
3257,PPP2R5B
3258,PPP2R5C
3259,PPP2R5D
3260,PPP3CA
3261,PPP4C
3262,PPP3CB
3263,PPP3CC
3264,PPP3R1
3265,PPP5C
3266,PPP6C
3267,PPT1
3268,PPY
3269,PRB1
3270,PRB3
3271,PRB4
3272,PRCC
3273,PRCP
3274,PRELP
3275,PREP
3276,PRF1
3277,SRGN
3278,PRG2
3279,PRIM1
3280,PRKAA1
3281,PRKAA2
3282,PRKAB1
3283,PRKAB2
3284,PRKACA
3285,PRKACB
3286,PRKACG
3287,PKIA
3288,PRKAG1
3289,PRKAR1A
3290,PRKAR1B
3291,PRKAR2A
3292,PRKAR2B
3293,PRKCA
3294,PRKCB
3295,PRKCD
3296,PRKCE
3297,PRKCG
3298,PRKCH
3299,PRKCI
3300,PKN1
3301,PKN2
3302,PRKD1
3303,PRKCQ
3304,PRKCSH
3305,PRKCZ
3306,PRKDC
3307,PRKG1
3308,PRKG2
3309,MAPK1
3310,MAPK3
3311,MAPK4
3312,MAPK6
3313,MAPK7
3314,MAPK8
3315,MAPK11
3316,MAPK9
3317,MAPK10
3318,MAPK13
3319,MAP2K1
3320,MAP2K2
3321,MAP2K3
3322,MAP2K5
3323,MAP2K6
3324,MAP2K7
3325,EIF2AK2
3326,DNAJC3
3327,PRKX
3328,PRL
3329,PRLR
3330,PRM1
3331,PRM2
3332,PRNP
3333,PROC
3334,PRODH
3335,PROS1
3336,PROX1
3337,PRPH
3338,PRPS1
3339,PRPS2
3340,PRPSAP1
3341,PRPSAP2
3342,PRRG1
3343,PRRG2
3344,LGMN
3345,PRSS1
3346,PRSS3
3347,MASP1
3348,RELN
3349,KLK7
3350,TMPRSS15
3351,PRSS8
3352,KLK6
3353,HTRA1
3354,KLK10
3355,PRTN3
3356,PSAP
3357,PSD
3358,PSEN1
3359,PSEN2
3360,PSG1
3361,PSG2
3362,PSG3
3363,PSG4
3364,PSG5
3365,PSG9
3366,PSG11
3367,PSKH1
3368,PSMA1
3369,PSMA2
3370,PSMA3
3371,PSMA4
3372,PSMA5
3373,PSMA6
3374,PSMA7
3375,PSMB1
3376,PSMB2
3377,PSMB3
3378,PSMB4
3379,PSMB5
3380,PSMB6
3381,PSMB7
3382,PSMB8
3383,PYY
3384,PSMB9
3385,PSMB10
3386,PSMC2
