,gene
416,BPHL
417,BPI
418,BRCA1
419,BRAF
420,BRCA2
421,BRDT
422,ZFP36L1
423,ZFP36L2
424,BRS3
425,BSG
426,BST1
427,BST2
428,BTC
429,BTD
430,KLF9
431,KLF5
432,BTF3
433,BTG1
434,BTK
435,BUB1
436,BUB1B
437,BYSL
438,TSPO
439,C1QBP
440,SERPING1
441,C1QA
442,C1QB
443,C1R
444,C1S
445,C2
446,C3
447,C3AR1
448,C4BPA
449,C4BPB
450,CAPN5
451,C5
452,C5AR1
453,C6
454,C7
455,C8A
456,C8B
457,C8G
458,OSGIN2
459,C9
460,MRPL49
461,ZNHIT2
462,MPPED2
463,DAGLA
464,FMNL1
465,PTTG1IP
466,C21orf2
467,TMEM50B
468,MPPED1
469,CA1
470,CA2
471,CA3
472,CA4
473,CA6
474,CA7
475,CA8
476,CA9
477,CA11
478,CA12
479,CACNA1A
480,CACNA1B
481,CACNA1C
482,CACNA1D
483,CACNA1E
484,CACNA1F
485,CACNA1S
486,DDR1
487,CACNA2D1
488,CACNB1
489,CACNB2
490,CACNB3
491,CACNB4
492,CACNG1
493,SLC25A20
494,CAD
495,CALB1
496,CALB2
497,S100G
498,CALCA
499,CALCB
500,CALCR
501,CALD1
502,CALM1
503,CALM3
504,CALML3
505,CALR
506,CALU
507,CAMK4
508,CAMK2A
509,CAMK2B
510,CAMK2G
511,CAMLG
512,CAMP
513,CANX
514,CAPG
515,CAPN1
516,CAPN2
517,CAPN3
518,CAPNS1
519,CAPN6
520,CAPZA2
521,CAST
522,CAPZB
523,CARS
524,CASP1
525,CASP2
526,CASP3
527,CASP4
528,CASP5
529,CASP6
530,CASP7
531,CASP8
532,CASP9
533,CASP10
534,CASQ1
535,CASQ2
536,CASR
537,CAT
538,CAV1
539,CAV2
540,CAV3
541,RUNX2
542,RUNX1
543,RUNX1T1
544,CBFA2T3
545,RUNX3
546,CBFB
547,SERPINA6
548,CBL
549,CBLB
550,CBLN1
551,SERPINH1
552,CBR1
553,CBR3
554,CCIN
555,CCK
556,CCKAR
557,CCKBR
558,KRIT1
559,CCNA2
560,CCNB1
561,CCNC
562,CCND2
563,CCND3
564,CCNE1
565,CCNF
566,CCNG1
567,CCNG2
568,CCNH
569,CCNT1
570,CCNT2
571,CCT6A
572,CD1A
573,CD1B
574,CD1C
575,CD1D
576,CD1E
577,CD2
578,CD3D
579,CD3E
580,CD3G
581,CD247
582,CD4
583,CD5
584,CD5L
585,CD6
586,CD7
587,CD8A
588,CD8B
589,CD9
590,CD14
591,CD19
592,MS4A1
593,MS4A3
594,CD22
595,CD27
596,CD28
597,CD80
598,CD86
599,TNFRSF8
600,TNFSF8
601,CD33
602,SIGLEC6
603,CD34
604,CD36
605,SCARB1
606,SCARB2
607,CD37
608,CD38
609,ENTPD1
610,ENTPD2
611,ENTPD6
