,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
735,1411.0,ALDH1L1,10-fTHF,ENSG00000144908
736,1412.0,ALDH1L1,FDH,ENSG00000144908
737,1417.0,ALDH2,,ENSG00000111275
738,1418.0,ALDH3A1,,ENSG00000108602
739,1419.0,ALDH3A2,FALDH,ENSG00000072210
740,1420.0,ALDH3B1,,ENSG00000006534
741,1421.0,ALDH3B2,,ENSG00000132746
742,1422.0,ALDH4A1,P5CDh,ENSG00000159423
743,1423.0,ALDH5A1,SSADH,ENSG00000112294
744,1424.0,ALDH5A1,SSDH,ENSG00000112294
745,1425.0,ALDH6A1,,ENSG00000119711
746,1426.0,ALDH7A1,EPD,ENSG00000164904
747,1427.0,ALDH7A1,PDE,ENSG00000164904
748,1432.0,ALDH8A1,ALDH12,ENSG00000118514
749,1433.0,ALDH9A1,E3,ENSG00000143149
750,1435.0,ALDH18A1,P5CS,ENSG00000059573
751,1436.0,ALDOA,,ENSG00000149925
752,1439.0,ALDOB,,ENSG00000136872
753,1440.0,ALDOC,,ENSG00000109107
754,1467.0,ALG3,NOT56L,ENSG00000214160
755,1468.0,ALG3,Not56,ENSG00000214160
756,1469.0,ALG3,CDGS4,ENSG00000214160
757,1470.0,ALG3,D16Ertd36e,ENSG00000214160
758,1472.0,ALG5,bA421P11.2,ENSG00000120697
759,1473.0,ALG6,,ENSG00000088035
760,1474.0,ALG8,MGC2840,ENSG00000159063
761,1475.0,ALG9,,ENSG00000086848
762,1483.0,ALG12,ECM39,ENSG00000182858
763,1484.0,ALG12,CDG1G,ENSG00000182858
764,1485.0,ALG13,MDS031,ENSG00000101901
765,1486.0,ALG13,YGL047W,ENSG00000101901
766,1487.0,ALG13,FLJ23018,ENSG00000101901
767,1488.0,ALG13,TDRD13,ENSG00000101901
768,1489.0,ALG13,CDG1S,ENSG00000101901
769,1493.0,ALK,CD246,ENSG00000171094
770,1497.0,ALKBH1,hABH,ENSG00000100601
771,1498.0,ALKBH1,alkB,ENSG00000100601
772,1499.0,ALKBH1,ABH,ENSG00000100601
773,1504.0,ALKBH4,FLJ20013,ENSG00000160993
774,1511.0,ALLC,ALC,ENSG00000151360
775,1512.0,ALMS1,KIAA0328,ENSG00000116127
776,1515.0,ALOX5,5-LOX,ENSG00000012779
777,1516.0,ALOX5AP,FLAP,ENSG00000132965
778,1517.0,ALOX12,12S-LOX,ENSG00000108839
779,1519.0,ALOX12B,12R-LOX,ENSG00000179477
780,1522.0,ALOX15,15-LOX-1,ENSG00000161905
781,1523.0,ALOX15B,15-LOX-2,ENSG00000179593
782,1526.0,ALOXE3,eLOX3,ENSG00000179148
783,1527.0,ALOXE3,E-LOX,ENSG00000179148
784,1530.0,ALPI,IAP,ENSG00000163295
785,1531.0,ALPK1,Lak,ENSG00000073331
786,1532.0,ALPK1,FLJ22670,ENSG00000073331
787,1533.0,ALPK1,KIAA1527,ENSG00000073331
788,1535.0,ALPK3,MAK,ENSG00000136383
789,1536.0,ALPK3,KIAA1330,ENSG00000136383
790,1537.0,ALPK3,Midori,ENSG00000136383
791,1538.0,ALPL,TNSALP,ENSG00000162551
792,1539.0,ALPL,TNALP,ENSG00000162551
793,1540.0,ALPL,TNAP,ENSG00000162551
794,1541.0,ALPP,PALP,ENSG00000163283
795,1542.0,ALPP,PLAP,ENSG00000163283
796,1546.0,ALS2CL,FLJ36525,ENSG00000178038
797,1547.0,ALS2CL,RN49018,ENSG00000178038
798,1548.0,ALS2CL,DKFZp686I0110,ENSG00000178038
799,1551.0,ALX1,,ENSG00000180318
